bathrooms,bedrooms,price,sizeMin,furnishing,price_per_m2,region
2,1,336000,85,1,3952,Dubai Marina
3,2,612000,114,0,5368,Yas Island
2,1,504000,84,0,6000,Dubai Hills Estate
4,2,1800000,182,1,9890,Downtown Dubai
2,1,360000,70,0,5142,Maritime City
3,2,780000,160,0,4875,Dubai Hills Estate
5,4,912000,264,0,3454,Jumeirah Beach Residence
6,5,1884000,841,0,2240,The Villa
5,3,864000,274,0,3153,Dubai South (Dubai World Central)
1,2,444000,71,0,6253,Dubai Hills Estate
4,3,660000,204,0,3235,Arabian Ranches 3
1,0,112800,46,1,2452,Arjan
2,2,715200,100,0,7152,Dubai Creek Harbour (The Lagoons)
2,1,384000,89,0,4314,Downtown Dubai
7,6,11040000,863,0,12792,Palm Jumeirah
4,3,2376000,463,0,5131,Palm Jumeirah
3,3,1200000,361,0,3324,The Springs
1,0,112800,39,1,2892,Arjan
2,1,717120,107,1,6702,Palm Jumeirah
2,2,2376000,149,1,15946,Bluewaters
2,1,1008000,115,1,8765,Palm Jumeirah
2,1,672000,69,1,9739,Jumeirah
4,3,1031999,158,1,6531,Dubai Creek Harbour (The Lagoons)
1,0,151200,36,0,4200,Jumeirah Village Triangle
2,1,540000,66,0,8181,Palm Jumeirah
1,1,525360,69,0,7613,Downtown Dubai
7,6,18480000,901,0,20510,Palm Jumeirah
1,1,414000,64,0,6468,Dubai Hills Estate
2,1,645600,107,0,6033,Palm Jumeirah
5,4,888000,247,0,3595,Dubai South (Dubai World Central)
1,1,660000,68,0,9705,Dubai Harbour
3,2,477600,80,0,5970,Business Bay
6,5,6720000,991,0,6781,Tilal Al Ghaf
4,2,1260000,172,1,7325,Dubai Marina
2,1,259200,73,0,3550,Business Bay
3,3,576000,172,0,3348,Al Furjan
3,2,1533600,175,0,8763,Downtown Dubai
4,3,636000,162,0,3925,Yas Island
4,3,564000,173,0,3260,Town Square
4,3,792000,187,0,4235,Yas Island
2,1,576000,78,0,7384,Downtown Dubai
1,2,444000,71,0,6253,Dubai Hills Estate
5,4,3000000,311,0,9646,Palm Jumeirah
3,3,600000,143,1,4195,Mudon
2,2,984000,103,1,9553,Dubai Creek Harbour (The Lagoons)
1,1,624000,84,0,7428,Dubai Marina
